listing_id,city_name,district_name,neighborhood_name,title,price,room_count,gross_sqm,net_sqm,building_age,floor_level,heating_type,is_furnished
12854-258,Istanbul,Adalar,Heybeliada,HEYBELİADA'DA DENİZ VE DOĞA MANZARALI DUBLEKS DAİRE,16000000,3 + 1,200,196,35 Yaşında,En Üst Kat,Kombi,Eşyalı Değil
12854-260,Istanbul,Adalar,Heybeliada,HEYBELİADA 1 DÖNÜM BAHÇE İÇİNDE ORTA KAT DAİRE,13750000,2 + 1,80,75,8 Yaşında,Ara Kat,Kat Kaloriferi,Eşyalı Değil
4387-1728,Istanbul,Adalar,Maden,BÜYÜKADADA DOĞA İÇİNDE İYOT VE OKSİJEN DOLU BİR ORTAMDA MANZARALI HAVUZLU  KOMBİLİ DUBLEKS DAİRE,21900000,4 + 1,160,150,30 Yaşında,En Üst Kat,Kombi,Eşyalı
4387-1446,Istanbul,Adalar,Maden,BÜYÜKADADA GÖKHANDAN HAVUZLU MANZARALI DUBLEKS  DAİRE,12000000,3 + 1,140,130,33 Yaşında,3. Kat,Klima,Eşyalı Değil
4387-1717,Istanbul,Adalar,Nizam,"BÜYÜKADADA İSKELEYE, AND.KLÜBÜNE,  DEVLET HAST. 2 DK .DÜZ AYAK 3+1 EMSALSİZ ,KONFORLU  DAİRE",20000000,3 + 1,130,120,30 Yaşında,2. Kat,Kombi,Eşyalı
54895-1104,Istanbul,Adalar,Nizam,Planet’ten Projeden 0 Bahçe Dubleksi Doğa Deniz Manzaralı Havuzlu,35000000,4 + 1,198,161,Sıfır Bina,Bahçe Katı,Kombi,Eşyalı Değil
1006-19583,Istanbul,Adalar,Nizam,Büyükada Yirmi Üç Nisan Caddesinde Satılık Masrafsız,13950000,2 + 1,140,110,36 Yaşında,1. Kat,Kombi,Eşyalı Değil
123163-3621,Istanbul,Arnavutkoy,Anadolu,ARNAVUTKÖY ANADOLU MAH SATILIK 1+1 BAHCE KATI,2350000,1 + 1,75,58,6 Yaşında,Bahçe Katı,Kombi,Eşyalı Değil
144331-78,Istanbul,Arnavutkoy,Arnavutkoy merkez,Arnavutköy Merkez’de Satılık 70 m² Dükkan – Avlu34 AVM’ye Yürüme Mesafesinde,5290000,1 + 1,85,70,18 Yaşında,Giriş Katı,Doğalgaz Sobası,
163115-169,Istanbul,Arnavutkoy,Ataturk,FASTYAP ARNAVUTKÖT ATATÜRK MAH SATILIK 110M 2+1 MUHTEŞEM DAİRE,4650000,2 + 1,110,95,5 Yaşında,2. Kat,Kombi,Eşyalı Değil
133586-316,Istanbul,Arnavutkoy,Bogazkoy istiklal,ARNAVUTKÖY BOĞAZKÖY İSTİKLAL MAH.GÜZEL GENİŞ 2+1 90M2 2.KAT,4050000,2 + 1,95,90,6 Yaşında,2. Kat,Kombi,Eşyalı Değil
27231-4011,Istanbul,Arnavutkoy,Bolluca,GÖKTÜRK NUR EMLAKTAN BOLLUCADA SİTEDE 1+1 80 M2 ARA KAT,5250000,1 + 1,80,65,6 Yaşında,3. Kat,Merkezi (Pay Öl...,Eşyalı Değil
152527-47,Istanbul,Arnavutkoy,Hadimkoy,ARNAVUTKÖY/HADIMKÖY TOKİ 2 ETAPTA SATLIK 3+1 DAİRE,5250000,3 + 1,107,100,17 Yaşında,Yüksek Giriş,Kombi,Eşyalı Değil
162949-390,Istanbul,Arnavutkoy,Haracci,HARAÇCI GÖÇMENKENT NEARPORT 2'DE SATILIK 4+2 ÇATI DUBLEKS DAİRE,7450000,4 + 2,152,113,1 Yaşında,5. Kat,Kombi,Eşyalı Değil
162949-389,Istanbul,Arnavutkoy,Haracci,HARAÇCI GÖÇMENKENT NEARPORT 2'DE SATILIK 4+2 ÇATI DUBLEKS DAİRE,7450000,4 + 2,152,113,1 Yaşında,5. Kat,Kombi,Eşyalı Değil
146740-361,Istanbul,Arnavutkoy,Islambey,ARNAVUTKÖY YENİ YAŞAM KONAKLARI'NDA SATILIK ULTRA LÜKS 2+1 DAİRE,9000000,2 + 1,120,110,6 Yaşında,3. Kat,Kombi,Eşyalı Değil
91888-161,Istanbul,Arnavutkoy,Mehmet akif ersoy,Arnavutköy Taşoluk da Satılık Dublex Daire,6500000,3 + 2,180,160,Sıfır Bina,Çatı Katı,Kombi,Eşyalı Değil
104922-178,Istanbul,Arnavutkoy,Mustafa kemal pasa,Krediye Uygun Geniş Kullanışlı 2+1 Bahçe Katı Daire,3250000,2 + 1,90,80,6 Yaşında,Bahçe Katı,Kombi,Eşyalı Değil
167213-16,Istanbul,Arnavutkoy,Omerli,ÖMERLİ KİPTAŞ 2+1 95m2 FULL TADİLATLI GİRİŞ KAT DAİRE,3750000,2 + 1,95,90,11 Yaşında,Giriş Katı,Kombi,Eşyalı Değil
163745-111,Istanbul,Arnavutkoy,Sazlibosna,SAZLIBOSNA'DA YATIRIM FIRSATI 2+1 SATILIK DAİRE,1675000,2 + 1,88,75,Sıfır Bina,3. Kat,Merkezi (Pay Öl...,Eşyalı Değil
137813-530,Istanbul,Arnavutkoy,Tasoluk,ARNAVUTKÖY'DE3+1/110 METREKARE SATILIK SIFIR DAİRE,4400000,3 + 1,110,100,Sıfır Bina,4. Kat,Kombi,Eşyalı Değil
105722-387,Istanbul,Arnavutkoy,Tasoluk,Sahibin'den Arnavutköy Taşolukta Krediye Uygun Ters Dublex Daire,2900000,2 + 1,110,84,5 Yaşında,Giriş Katı,Kombi,Eşyalı Değil
167219-2,Istanbul,Arnavutkoy,Tasoluk,ACİL Taşoluk'ta Yeni Sistem Sıfır Satılık 4+2 Çatı DUBLEKS,6850000,4 + 2,180,160,1 Yaşında,2. Kat,Kombi,Eşyalı Değil
159127-173,Istanbul,Atasehir,Ataturk,ATAŞEHİR ATATÜRK MAH. AÇIK & KAPALI OTOPARKLI SIFIR 2+1 ARA KAT,9100000,2 + 1,90,80,Sıfır Bina,2. Kat,Kombi,Eşyalı Değil
164577-18,Istanbul,Atasehir,Barbaros,Ataşehir Varyap Meridian'de Boş Çift Cepheli 4+1 Satılık Daire,33990000,4 + 1,195,160,11 Yaşında,17. Kat,Merkezi (Pay Öl...,Eşyalı Değil
15918-12694,Istanbul,Atasehir,Barbaros,TURYAP BATI ATAŞEHİR VARYAP PİZZA DİLİM SALON 3+1 SATILIK GÜNCEL,28500000,3 + 1,214,150,11 Yaşında,2. Kat,Merkezi (Pay Öl...,Eşyalı Değil
161197-21,Istanbul,Atasehir,Barbaros,AĞAOĞLU ANDROMEDA DA FULL EŞYALI BÜYÜK TİP SATILIK 1+1,8500000,1 + 1,72,60,13 Yaşında,10. Kat,Kombi,Eşyalı
141479-300,Istanbul,Atasehir,Barbaros,TURAN GAYRİMENKUL'DEN ATAŞEHİR UPHILL COURT'TA SATILIK 1+1,12000000,1 + 1,70,55,11 Yaşında,10. Kat,Merkezi (Pay Öl...,Eşyalı Değil
15918-12510,Istanbul,Atasehir,Barbaros,TURYAP BATI ATAŞEHİR TRİO KONUTLARI 4+1 285M2 BOŞ SATILIK GÜNCEL,40500000,4 + 1,285,245,16 Yaşında,8. Kat,Merkezi (Pay Öl...,Eşyalı Değil
73228-1099,Istanbul,Atasehir,Barbaros,ATAŞEHİR AĞAOĞLU SOUTSIDE SİTESİNDE 2+1 SATILIK DAİRE,18500000,2 + 1,138,105,16 Yaşında,7. Kat,Kombi,Eşyalı Değil
168648-7,Istanbul,Atasehir,Esatpasa,Esatpaşa mahallesinde satılık 1+1 daire,4950000,1 + 1,60,50,2 Yaşında,Bahçe Katı,Kombi,
72542-4211,Istanbul,Atasehir,Fetih,Ataşehir Fetih'te Satılık 3+1 Dubleks Daire,8950000,3 + 2,105,80,9 Yaşında,4. Kat,Kombi,Eşyalı Değil
161138-28,Istanbul,Atasehir,Fetih,ATAŞEHİR FETİH MAHALLAESİN DE EMAR AVM YAKIN KONUMDA 2+1,5200000,2 + 1,70,60,3 Yaşında,Bahçe Katı,Kombi,Eşyalı Değil
73540-11911,Istanbul,Atasehir,Icerenkoy,ASIA EMLAKTAN BOSTANCI KÖPRÜSÜNE E-5 YAKIN TERASLI 3+1 DUBLEX,7800000,3 + 1,115,100,6 Yaşında,3. Kat,Kombi,Eşyalı Değil
73540-11925,Istanbul,Atasehir,Icerenkoy,İÇERENKÖY MUHTARLIĞA YAKIN TERASLI ÖNÜ AÇIK 3+2 PAZARLIKSIZ!!,9950000,3 + 2,165,150,6 Yaşında,4. Kat,Kombi,Eşyalı Değil
14187-209,Istanbul,Atasehir,Icerenkoy,İçerenköy de site içerisinde 3+1 satılık daire,7250000,3 + 1,110,85,30 Yaşında,1. Kat,Kombi,Eşyalı Değil
